CB My chunked:
ID,Sensitivity,Precision (PPV),Our Quality,Diff HR[bpm],SDNN [s],RMSSD [s],TP,FP,FN
0031_0min,98.57142857142858,100.0,100.0,0.5012321958147083,0.024310365042915335,0.019363846225122282,69,0,1
0031_1min,98.66666666666667,100.0,100.0,0.2845759817871283,0.025534383757250017,0.016258900696290997,74,0,1
0031_2min,96.0,100.0,100.0,0.0,0.1246541204245108,0.17325730933526365,72,0,3
0031_3min,98.61111111111111,100.0,100.0,0.0,0.09271715944380954,0.12935676365284315,71,0,1
0031_4min,98.55072463768117,100.0,100.0,0.23207240659085926,0.04249496014915493,0.044092037196162115,68,0,1
0031_5min,97.01492537313433,100.0,100.0,0.334168755221377,0.1375274199301321,0.19008630732592033,65,0,2
0031_6min,90.0,100.0,100.0,0.0,0.2075725895399376,0.2910013489036645,63,0,7
0031_7min,81.94444444444444,100.0,100.0,0.8927242969796225,0.2313203755218925,0.3496221853867685,59,0,13
0322_0min,100.0,100.0,100.0,0.2891566265060277,0.015641725688088914,0.01827824850309635,75,0,0
0322_1min,98.68421052631578,100.0,100.0,0.14662756598241344,0.016533004328433958,0.019397311869497724,75,0,1
0322_2min,98.7012987012987,100.0,99.26455026455027,0.0,0.015891608158916555,0.018000667321630723,76,0,1
0322_3min,98.7012987012987,100.0,100.0,0.0,0.013495605137402738,0.01814191635768197,76,0,1
0322_4min,100.0,100.0,100.0,0.0,0.01599687132768611,0.018362602897878746,77,0,0
0322_5min,98.73417721518987,100.0,99.23015873015873,0.0,0.013164444510750356,0.018563152837674252,78,0,1
0322_6min,100.0,100.0,100.0,0.0,0.016060080970634726,0.018836787449124884,78,0,0
0322_7min,98.68421052631578,100.0,100.0,0.0,0.01704042801686063,0.01756483965441291,75,0,1
0133_0min,97.2972972972973,100.0,100.0,0.2693723623956146,0.03459409032686063,0.0419882825680674,72,0,2
0133_1min,98.64864864864865,100.0,100.0,0.13442566634056163,0.03750168606177587,0.044605732383880284,73,0,1
0133_2min,100.0,100.0,100.0,0.0,0.03143010513689579,0.03471096844231579,73,0,0
0133_3min,100.0,100.0,100.0,0.8207934336525398,0.03281215122146171,0.039723193461319695,74,0,0
0133_4min,98.66666666666667,100.0,100.0,0.13922621165478688,0.028304094134081446,0.03671923840626059,74,0,1
0133_5min,100.0,100.0,100.0,0.13977542747984728,0.03264572630757128,0.03915974387473513,75,0,0
0133_6min,98.66666666666667,100.0,100.0,0.0,0.028014508032205086,0.03358010507413763,74,0,1
0133_7min,100.0,100.0,100.0,0.2914885347842926,0.030530801961500327,0.03724223579464754,72,0,0
0018_0min,99.32885906040269,100.0,100.0,1.124859392575928,0.004041882530848693,0.006603582810571332,148,0,1
0018_1min,99.32432432432432,100.0,100.0,2.232142857142861,0.0040961856513578735,0.006585715413649347,147,0,1
0018_2min,98.63945578231292,100.0,100.0,1.0901162790697754,0.03211527557204806,0.04501057460144035,145,0,2
